a.l.zissu	romanian jews
a.l.zissu	romanian magazine editors
a.l.zissu	romanian magazine founders
a.l.zissu	romanian male poets
a.l.zissu	romanian memoirists
a.l.zissu	romanian newspaper editors
a.l.zissu	romanian newspaper founders
a.l.zissu	romanian novelists
a.l.zissu	romanian philanthropists
a.l.zissu	romanian politicians of ethnic minority parties
a.l.zissu	romanian propagandists
a.l.zissu	romanian short story writers
a.l.zissu	romanian torture victims
a.l.zissu	romanian trade unionists
a.l.zissu	romanian zionists
a.l.zissu	the holocaust in hungary
a.l.zissu	the holocaust in romania
a.l.zissu	yiddish-language journalists
a.m.dellamonica	1968 births
a.m.dellamonica	20th-century canadian short story writers
a.m.dellamonica	20th-century women writers
a.m.dellamonica	21st-century canadian novelists
a.m.dellamonica	21st-century short story writers
a.m.dellamonica	21st-century women writers
a.m.dellamonica	alyxandra margaret dellamonica is a canadian science fiction
a.m.dellamonica	canadian fantasy writers
a.m.dellamonica	canadian science fiction writers
a.m.dellamonica	canadian women novelists
a.m.dellamonica	canadian women short story writers
a.m.dellamonica	lesbian writers
a.m.dellamonica	lgbt writers from canada
a.m.dellamonica	women science fiction and fantasy writers
a.m.dellamonica	writers from vancouver
a.m.homes	1961 births
a.m.homes	20th-century american novelists
a.m.homes	20th-century american short story writers
a.m.homes	20th-century women writers
a.m.homes	21st-century american novelists
a.m.homes	21st-century american short story writers
a.m.homes	21st-century women writers
a.m.homes	american adoptees
a.m.homes	american women novelists
a.m.homes	american women short story writers
a.m.homes	amy m. homes is an american writer. she is best known for her
a.m.homes	bisexual women
a.m.homes	bisexual writers
a.m.homes	guggenheim fellows
a.m.homes	iowa writers' workshop alumni
a.m.homes	lgbt novelists
a.m.homes	lgbt writers from the united states
a.m.homes	sarah lawrence college alumni
a.m.homes	vanity fair magazine people
a.m.homes	writers from new york city
a.m.homes	writers from washington d.c
a.m.muhammed	1958 births
a.m.muhammed	a m muhammed  is a writer in malayalam based in abu dhabi. a.m.muhammed
a.m.muhammed	indian expatriates in the united arab emirates
a.m.muhammed	malayalam-language writers
a.n.krishna_rao	1908 births
a.n.krishna_rao	1971 deaths
a.n.krishna_rao	a. n. krishna rao popularly known as anakru was an indian writer. he
a.n.krishna_rao	kannada people
a.n.krishna_rao	kannada writers
a.n.krishna_rao	people from kolar
a.r.krishnashastry	1890 births
a.r.krishnashastry	1968 deaths
a.r.krishnashastry	20th-century indian writers
a.r.krishnashastry	ambale ramakrishna krishnashastry  was a prominent writer researcher
a.r.krishnashastry	indian biographers
a.r.krishnashastry	indian male novelists
a.r.krishnashastry	indian translators
a.r.krishnashastry	kannada writers
a.r.krishnashastry	people from chikkamagaluru district
a.r.krishnashastry	recipients of the sahitya akademi award in kannada
a.r.krishnashastry	writers from karnataka
a.s.gnanasambandan	1916 births
a.s.gnanasambandan	2002 deaths
a.s.gnanasambandan	a. s. gnanasambandan was a tamil writer scholar and literary
a.s.gnanasambandan	annamalai university alumni
a.s.gnanasambandan	indian writers
a.s.gnanasambandan	recipients of the sahitya akademi award in tamil
a.s.gnanasambandan	tamil writers
a.s.king	21st-century american novelists
a.s.king	21st-century women writers
a.s.king	american children's writers
a.s.king	american women novelists
a.s.king	american young adult novelists
a.s.king	amy sarig king is an american writer of short fiction and young-adult
a.s.king	living people
a.s.king	people from reading pennsylvania
a.s.king	women children's writers
a.s.king	women writers of young adult literature
a.s.king	writers from pennsylvania
a.sheriff	1940 births
a.sheriff	2015 deaths
a.sheriff	alleppey sheriffalso known as a. sheriff was an indian film script
a.sheriff	date of birth missing
a.sheriff	malayalam film directors
a.sheriff	malayalam screenwriters
a.whitney_brown	1952 births
a.whitney_brown	alan whitney brown is an american writer and comedian best known
a.whitney_brown	american satirists
a.whitney_brown	american sketch comedians
a.whitney_brown	american stand-up comedians
a.whitney_brown	american television writers
a.whitney_brown	emmy award winners
a.whitney_brown	male television writers
a.whitney_brown	people from eaton county michigan
a.whitney_brown	writers from michigan
aage_borchgrevink	1969 births
aage_borchgrevink	21st-century norwegian novelists
aage_borchgrevink	aage storm borchgrevink is a norwegian writer and literary critic. he
aage_borchgrevink	norwegian literary critics
aage_borchgrevink	university of oslo alumni
aage_borchgrevink	writers from oslo
aaron_alfandari	1700s births
aaron_alfandari	1774 deaths
aaron_alfandari	18th-century rabbis
aaron_alfandari	aaron ben moses alfandari  was a talmudic writer born in smyrna. he
aaron_alfandari	early acharonim
aaron_alfandari	ottoman rabbis
aaron_alfandari	rabbis in hebron
aaron_alfandari	rabbis in ottoman palestine
aaron_alfandari	smyrniote jews
aaron_becker	1974 births
aaron_becker	aaron becker is an american writer and illustrator of children's
aaron_becker	american children's book illustrators
aaron_becker	american children's writers
aaron_becker	american illustrators
aaron_becker	artists from baltimore
aaron_becker	people from amherst massachusetts
aaron_becker	pomona college alumni
aaron_becker	writers from baltimore
aaron_cohen_:counterterrorist	1976 births
aaron_cohen_:counterterrorist	aaron cohen is an israeli-american writer director actor author
aaron_cohen_:counterterrorist	american emigrants to israel
aaron_cohen_:counterterrorist	businesspeople from california
aaron_cohen_:counterterrorist	canadian emigrants to the united states
aaron_cohen_:counterterrorist	israeli jews
aaron_cohen_:counterterrorist	israeli male actors
aaron_cohen_:counterterrorist	israeli soldiers
aaron_cohen_:counterterrorist	israeli writers
aaron_cohen_:counterterrorist	jewish american male actors
aaron_cohen_:counterterrorist	jewish american writers
aaron_cohen_:counterterrorist	jewish canadian male actors
aaron_cohen_:counterterrorist	jewish canadian writers
aaron_cohen_:counterterrorist	writers from los angeles
aaron_cohen_:counterterrorist	writers from montreal
aaron_ehasz	aaron ehasz is an american television writer and producer whose
aaron_ehasz	american television producers
aaron_ehasz	american television writers
aaron_ehasz	male television writers
aaron_ehasz	place of birth missing living people
aaron_ehasz	year of birth missing living people
aaron_elkins	1935 births
aaron_elkins	20th-century american novelists
aaron_elkins	aaron elkins is an american mystery writer. he is best known
aaron_elkins	agatha award winners
aaron_elkins	american male novelists
aaron_elkins	american mystery writers
aaron_elkins	california state university los angeles alumni
aaron_elkins	edgar award winners
aaron_elkins	hunter college alumni
aaron_elkins	nero award winners
aaron_elkins	university of arizona alumni
aaron_elkins	university of california berkeley alumni
aaron_elkins	university of wisconsin-madison alumni
aaron_elkins	writers from brooklyn
aaron_elkins	writers from sequim washington
aaron_hoffman	1880 births
aaron_hoffman	1944 deaths
aaron_hoffman	aaron hoffman was an american writer and lyricist whose work
aaron_hoffman	american male screenwriters
aaron_hoffman	writers from st. louis
aaron_mcgruder	1974 births
aaron_mcgruder	aaron vincent mcgruder is an american writer lecturer producer
aaron_mcgruder	african-american comics creators
aaron_mcgruder	american animators
aaron_mcgruder	american comic strip cartoonists
aaron_mcgruder	american comics artists
aaron_mcgruder	american social commentators
aaron_mcgruder	free speech activists
aaron_mcgruder	people from columbia maryland
aaron_mcgruder	university of maryland college park alumni
aaron_mcgruder	writers from chicago
aaron_paquette	21st-century canadian artists
aaron_paquette	21st-century canadian novelists
aaron_paquette	aaron paquette is a canadian writer and artist who was a winner
aaron_paquette	alberta candidates for member of parliament
aaron_paquette	canadian fantasy writers
aaron_paquette	canadian male novelists
aaron_paquette	canadian painters
aaron_paquette	canadian people of norwegian descent
aaron_paquette	canadian writers of young adult literature
aaron_paquette	métis artists
aaron_paquette	métis politicians
aaron_paquette	métis writers
aaron_paquette	new democratic party candidates in the 2015 canadian federal
aaron_peck	aaron peck is a vancouver- and brussels-based writer. he is the
aaron_peck	canadian art critics
aaron_peck	canadian male novelists
aaron_peck	emily carr university of art and design faculty
aaron_peck	writers from vancouver
aaron_shure	aaron shure is an american television writer director and producer. born
aaron_shure	american television producers
aaron_shure	american television writers
aaron_shure	male television writers
aaron_shure	people from colorado
aaron_shure	year of birth missing living people
aaron_smith_:magician	1976 births
aaron_smith_:magician	aaron smith is an american writer illustrator and inventor of
aaron_smith_:magician	american crime fiction writers
aaron_smith_:magician	american inventors
aaron_smith_:magician	american magicians
aaron_smith_:magician	american male novelists
aaron_smith_:magician	people from oklahoma
aaron_smith_:magician	writers from oklahoma
abbas_el-zein	1963 births
abbas_el-zein	abbas el-zein is an australian-lebanese writer and academic. he
abbas_el-zein	australian academics
abbas_el-zein	australian writers
abbas_el-zein	lebanese academics
abbas_el-zein	lebanese writers
abbas_el-zein	university of sydney faculty
abbasgulu_bakikhanov	1794 births
abbasgulu_bakikhanov	1847 deaths
abbasgulu_bakikhanov	19th-century poets
abbasgulu_bakikhanov	abbasgulu bakikhanov  also known as gudsi was an azerbaijani
abbasgulu_bakikhanov	arabic-language writers
abbasgulu_bakikhanov	azerbaijani historians
abbasgulu_bakikhanov	azerbaijani nobility
abbasgulu_bakikhanov	azerbaijani people of georgian descent
abbasgulu_bakikhanov	azerbaijani philosophers
abbasgulu_bakikhanov	azerbaijani poets
abbasgulu_bakikhanov	azerbaijani writers
abbasgulu_bakikhanov	azerbaijani-language poets
abbasgulu_bakikhanov	azerbaijani-language writers
abbasgulu_bakikhanov	deaths from cholera
abbasgulu_bakikhanov	imperial russian historians
abbasgulu_bakikhanov	imperial russian male writers
abbasgulu_bakikhanov	imperial russian military personnel
abbasgulu_bakikhanov	imperial russian poets
abbasgulu_bakikhanov	imperial russian writers
abbasgulu_bakikhanov	people from baku
abbasgulu_bakikhanov	people of the russo-persian wars
abbasgulu_bakikhanov	persian-language poets
abbasgulu_bakikhanov	persian-language writers
abbasgulu_bakikhanov	recipients of the order of the lion and the sun
abby_mann	1927 births
abby_mann	2008 deaths
abby_mann	abby mann was an american film writer and producer
abby_mann	american male screenwriters
abby_mann	american people of russian-jewish descent
abby_mann	american television producers
abby_mann	american television writers
abby_mann	best adapted screenplay academy award winners
abby_mann	burials at hillside memorial park cemetery
abby_mann	male television writers
abby_mann	people from the greater los angeles area
abby_mann	primetime emmy award winners
abby_mann	writers from philadelphia
abby_mann	writers from pittsburgh
abd_allah_ibn_hijazi_al-sharqawi	1737 births
abd_allah_ibn_hijazi_al-sharqawi	1812 deaths
abd_allah_ibn_hijazi_al-sharqawi	abd allah ibn hijazi ibn ibrahim al-sharqawi was an egyptian
abd_allah_ibn_hijazi_al-sharqawi	muslim scholars
abdal_bela	1956 births
abdal_bela	abdaal bela is an urdu-language fiction writer from pakistan
abdal_bela	pakistani writers
abdal_bela	urdu fiction
abdallah_marrash	1839 births
abdallah_marrash	1900 deaths
abdallah_marrash	19th-century ottoman writers
abdallah_marrash	abdallah bin fathallah bin nasrallah marrash was a writer involved
abdallah_marrash	al-nahda
abdallah_marrash	members of the société asiatique
abdallah_marrash	ottoman christians
abdallah_marrash	people from aleppo
abdellah_taïa	1973 births
abdellah_taïa	20th-century french novelists
abdellah_taïa	20th-century moroccan people
abdellah_taïa	21st-century african people
abdellah_taïa	21st-century french novelists
abdellah_taïa	abdellah taïa is a moroccan writer and filmmaker who writes in
abdellah_taïa	date of birth missing living people
abdellah_taïa	french expatriates in switzerland
abdellah_taïa	gay writers
abdellah_taïa	lgbt muslims
abdellah_taïa	lgbt novelists
abdellah_taïa	lgbt people from morocco
abdellah_taïa	lgbt writers from france
abdellah_taïa	male novelists
abdellah_taïa	moroccan expatriates in france
abdellah_taïa	moroccan expatriates in switzerland
abdellah_taïa	moroccan male writers
abdellah_taïa	moroccan muslims
abdellah_taïa	moroccan non-fiction writers
abdellah_taïa	moroccan novelists
abdellah_taïa	moroccan writers in french
abdellah_taïa	muslim writers
abdellah_taïa	people from geneva
abdellah_taïa	people from salé
abdellah_taïa	writers from paris
abdellah_taïa	writers from rabat
abdizhamil_karimuly_nurpeisov	1924 births
abdizhamil_karimuly_nurpeisov	abdizhamil karimovich nurpeisov is the people's writer of kazakhstan
abdizhamil_karimuly_nurpeisov	al-farabi university alumni
abdizhamil_karimuly_nurpeisov	kazakhstani writers
abdón_ubidia	1944 births
abdón_ubidia	20th-century dramatists and playwrights
abdón_ubidia	20th-century novelists
abdón_ubidia	20th-century short story writers
abdón_ubidia	21st-century novelists
abdón_ubidia	21st-century short story writers
abdón_ubidia	abdón ubidia is an ecuadorian writer who is considered one of
abdón_ubidia	ecuadorian dramatists and playwrights
abdón_ubidia	ecuadorian male writers
abdón_ubidia	ecuadorian novelists
abdón_ubidia	ecuadorian short story writers
abdón_ubidia	male dramatists and playwrights
abdón_ubidia	male novelists
abdón_ubidia	male short story writers
abdón_ubidia	people from quito
abdukadir_osman	2014 deaths
abdukadir_osman	abdukadir osman also known as abdukadir oromo was a somali writer. he
abdukadir_osman	ethnic somali people
abdukadir_osman	somalian muslims
abdukadir_osman	somalian writers
abdukadir_osman	year of birth missing
abdul_aziz_said	abdul aziz said is a syrian-born writer and senior-ranking professor
abdul_aziz_said	american academics
abdul_aziz_said	american male writers
abdul_aziz_said	american political scientists
abdul_aziz_said	american university faculty and staff
abdul_aziz_said	date of birth missing living people
abdul_aziz_said	international relations scholars
abdul_aziz_said	place of birth missing living people
abdul_aziz_said	syrian academics
abdul_gaffar_choudhury	1934 births
abdul_gaffar_choudhury	20th-century british writers
abdul_gaffar_choudhury	21st-century british writers
abdul_gaffar_choudhury	abdul gaffar choudhury is a bangladeshi-born british writer journalist
abdul_gaffar_choudhury	bangladeshi columnists
abdul_gaffar_choudhury	bangladeshi emigrants to england
abdul_gaffar_choudhury	bangladeshi male poets
abdul_gaffar_choudhury	bangladeshi male writers
abdul_gaffar_choudhury	bengali-language writers
abdul_gaffar_choudhury	british asian writers
abdul_gaffar_choudhury	british columnists
abdul_gaffar_choudhury	british muslims
abdul_gaffar_choudhury	british people of bangladeshi descent
abdul_gaffar_choudhury	british poets
abdul_gaffar_choudhury	british political scientists
abdul_gaffar_choudhury	british writers
abdul_gaffar_choudhury	dhaka college alumni
abdul_gaffar_choudhury	journalists from london
abdul_gaffar_choudhury	male poets
abdul_gaffar_choudhury	naturalised citizens of the united kingdom
abdul_gaffar_choudhury	people from barisal division
abdul_gaffar_choudhury	recipients of bangla academy award
abdul_gaffar_choudhury	recipients of the ekushey padak
abdul_gaffar_choudhury	recipients of the independence day award
abdul_gaffar_choudhury	university of dhaka alumni
abdul_hameed_:writer	1928 births
abdul_hameed_:writer	2011 deaths
abdul_hameed_:writer	20th-century novelists
abdul_hameed_:writer	abdul hameed was an urdu fiction writer from pakistan who wrote
abdul_hameed_:writer	indian emigrants to pakistan
abdul_hameed_:writer	pakistani broadcasters
abdul_hameed_:writer	pakistani dramatists and playwrights
abdul_hameed_:writer	pakistani radio writers
abdul_hameed_:writer	pakistani romantic fiction writers
abdul_hameed_:writer	pakistani spy fiction writers
abdul_hameed_:writer	people from amritsar
abdul_hameed_:writer	writers from lahore
abdul_haq_choudhury	1922 births
abdul_haq_choudhury	1994 deaths
abdul_haq_choudhury	20th-century historians
abdul_haq_choudhury	abdul haq choudhury was a bangladeshi writer. he was awarded
abdul_haq_choudhury	bangladeshi historians
abdul_haq_choudhury	recipients of the ekushey padak
abdul_muis	1959 deaths
abdul_muis	abdul muis was an indonesian writer journalist and nationalist. he
abdul_muis	indonesian journalists
abdul_muis	indonesian writers
abdul_muis	minangkabau people
abdul_muis	national heroes of indonesia
abdul_muis	year of birth unknown
abdul_qavi_desnavi	1930 births
abdul_qavi_desnavi	2011 deaths
abdul_qavi_desnavi	20th-century indian writers
abdul_qavi_desnavi	abdul qavi desnavi was an indian urdu language writer critic
abdul_qavi_desnavi	articles created via the article wizard
abdul_qavi_desnavi	indian literary critics
abdul_qavi_desnavi	indian male educational theorists
abdul_qavi_desnavi	indian muslims
abdul_qavi_desnavi	linguists of urdu
abdul_qavi_desnavi	people from bhopal
abdul_qavi_desnavi	people from bihar
abdul_qavi_desnavi	people from mumbai
abdul_qavi_desnavi	st. xavier's college mumbai alumni
abdul_qavi_desnavi	urdu writers from india
abdul_qayum_:imam	1960 births
abdul_qayum_:imam	abdul qayum is a bangladeshi born british writer lecturer and
abdul_qayum_:imam	bangladeshi emigrants to the united kingdom
abdul_qayum_:imam	bangladeshi muslims
abdul_qayum_:imam	british imams
abdul_qayum_:imam	british islamists
abdul_qayum_:imam	british muslims
abdul_qayum_:imam	british sunni muslims
abdul_qayum_:imam	imam muhammad ibn saud islamic university alumni
abdul_qayum_:imam	imams worship leaders
abdul_qayum_:imam	people from noakhali district
abdul_rahim_dard	1894 births
abdul_rahim_dard	1955 deaths
abdul_rahim_dard	abdur rahim dard known as a. r. dard was an ahmadi muslim writer
abdul_rahim_dard	pakistan movement activists
abdul_rahim_dard	pakistani ahmadis
abdul_wahid_nazari	1953 births
abdul_wahid_nazari	abdul wahid nazari is an afghan film writer director and producer. he
abdul_wahid_nazari	afghan film directors
abdul_wahid_nazari	pashtun people
abdulah_sidran	1944 births
abdulah_sidran	abdulah sidran often referred to by his nickname avdo is a bosnian
abdulah_sidran	bosnia and herzegovina muslims
abdulah_sidran	bosnia and herzegovina poets
abdulah_sidran	bosnia and herzegovina writers
abdulah_sidran	bosniak poets
abdulah_sidran	bosniak writers
abdulah_sidran	bosniaks of bosnia and herzegovina
abdulah_sidran	golden arena winners
abdulah_sidran	people from sarajevo
abdulah_sidran	yugoslav poets
abdulah_sidran	yugoslav writers
abdulla_shaig	1881 births
abdulla_shaig	1959 deaths
abdulla_shaig	abdulla shaig  born abdulla mustafa oglu talibzadeh was an azerbaijani
abdulla_shaig	azerbaijani emigrants to iran
abdulla_shaig	azerbaijani writers
abdulla_shaig	azerbaijani-language writers
abdulla_shaig	georgian azerbaijanis
abdulla_shaig	people from tbilisi
abdulla_shaig	russian translators
abdullah_abdul_kadir	1796 births
abdullah_abdul_kadir	1854 deaths
abdullah_abdul_kadir	abdullah bin abdul kadir  also known as munshi abdullah was a
abdullah_abdul_kadir	hadhrami people
abdullah_abdul_kadir	malaysian journalists
abdullah_abdul_kadir	malaysian muslims
abdullah_abdul_kadir	malaysian people of indian descent
abdullah_abdul_kadir	malaysian people of tamil descent
abdullah_abdul_kadir	malaysian people of yemeni descent
abdullah_abdul_kadir	malaysian writers
abdullah_abdul_kadir	people from malacca
abdullah_abu_sayeed	1939 births
abdullah_abu_sayeed	abdullah abu sayeed is a bangladeshi writer television presenter
abdullah_abu_sayeed	bangladeshi educators
abdullah_abu_sayeed	bangladeshi male writers
abdullah_abu_sayeed	dhaka college faculty
abdullah_abu_sayeed	ramon magsaysay award winners
abdullah_abu_sayeed	university of dhaka alumni
abdullah_tahiri	1956 births
abdullah_tahiri	1999 deaths
abdullah_tahiri	abdullah tahiri  was a writer born in gjilan a village located
abdullah_tahiri	kosovan activists
abdullah_tahiri	kosovo albanians
abdullah_tahiri	kosovo liberation army
abdullah_tahiri	people from gjilan
abdulrazak_eid	1950 births
abdulrazak_eid	abdulrazak eid abdul razzak eid abdul razaq eid abdel razzak
abdulrazak_eid	people from idlib governorate
abdulrazak_eid	syrian writers
abdulrazak_eid	university of aden faculty
abdulrazak_eid	university of aleppo alumni
abdulrazak_eid	university of aleppo faculty
abdulrazak_eid	university of paris alumni
abdurrahman_sharafkandi	1920 births
abdurrahman_sharafkandi	1990 deaths
abdurrahman_sharafkandi	20th-century poets
abdurrahman_sharafkandi	democratic party of iranian kurdistan politicians
abdurrahman_sharafkandi	kurdish nationalists
abdurrahman_sharafkandi	kurdish poets
abdurrahman_sharafkandi	kurdish scholars
abdurrahman_sharafkandi	kurdish-language writers
abdurrahman_sharafkandi	this article is about the kurdish poet. for the feature film
abed_elrahim_abu_zakrra	1943 births
abed_elrahim_abu_zakrra	1989 deaths
abed_elrahim_abu_zakrra	20th-century poets
abed_elrahim_abu_zakrra	20th-century translators
abed_elrahim_abu_zakrra	abed elrahim abu zakrra or abuzikreea was a sudanese writer poet
abed_elrahim_abu_zakrra	expatriates in the soviet union
abed_elrahim_abu_zakrra	peoples' friendship university of russia alumni
abed_elrahim_abu_zakrra	sudanese poets
abed_elrahim_abu_zakrra	sudanese translators
abel_meeropol	1903 births
abel_meeropol	1986 deaths
abel_meeropol	20th-century american musicians
abel_meeropol	20th-century american poets
abel_meeropol	abel meeropol was an american writer teacher and song-writer
abel_meeropol	american communists
abel_meeropol	jewish american songwriters
abel_meeropol	jewish american writers
abel_meeropol	people associated with the history of african-american civil rights
abel_meeropol	songwriters from new york
abelardo_castillo	1935 births
abelardo_castillo	abelardo castillo is an argentine writer novelist essayists born
abelardo_castillo	argentine male writers
abelardo_castillo	people from buenos aires province
abena_busia	1953 births
abena_busia	20th-century ghanaian poets
abena_busia	20th-century women writers
abena_busia	21st-century ghanaian poets
abena_busia	21st-century women writers
abena_busia	abena busia was born in accra ghana to kofi abrefa busia one-time
abena_busia	ghanaian academics
abena_busia	ghanaian female poets
abena_busia	ghanaian women writers
abena_busia	wiki loves women ghana
abhilash_chandran_r	1980 births
abhilash_chandran_r	abhilash r is a modern progressive tamil writer based in chennai
abhilash_chandran_r	indian writers
abigail_pogrebin	1965 births
abigail_pogrebin	abigail pogrebin is an american writer. she is the author of
abigail_pogrebin	american non-fiction writers
abigail_pogrebin	yale university alumni
abraham_brumberg	1926 births
abraham_brumberg	2008 deaths
abraham_brumberg	abraham brumberg was a jewish american writer and editor. he
abraham_brumberg	israeli emigrants to the united states
abraham_brumberg	israeli jews
abraham_brumberg	jewish american writers
abraham_brumberg	people from tel aviv
abraham_eraly	1934 births
abraham_eraly	2015 deaths
abraham_eraly	abraham eraly was an indian writer of history a teacher and the
abraham_eraly	indian writers
abraham_h.de_vries	1937 births
abraham_h.de_vries	abraham hermanus de vries is an afrikaans short story writer
abraham_h.de_vries	afrikaans-language writers
abraham_h.de_vries	sestigers
abrar_alvi	1927 births
abrar_alvi	2009 deaths
abrar_alvi	20th-century indian film directors
abrar_alvi	20th-century indian male actors
abrar_alvi	abrar alvi was an indian film writer director and actor. most
abrar_alvi	hindi-language film directors
abrar_alvi	indian male film actors
abrar_alvi	indian male screenwriters
abrar_alvi	indian muslims
abrar_alvi	male actors in hindi cinema
abrar_alvi	place of birth missing
abu_rushd	1919 births
abu_rushd	2010 deaths
abu_rushd	20th-century novelists
abu_rushd	abu rushd matinuddin was a bangladeshi writer
abu_rushd	alumni of the university of oxford
abu_rushd	bangladeshi male novelists
abu_rushd	bengali novelists
abu_rushd	bengali-language writers
abu_rushd	jahangirnagar university faculty
abubakar_imam	1911 births
abubakar_imam	1981 deaths
abubakar_imam	20th-century nigerian politicians
abubakar_imam	20th-century nigerian writers
abubakar_imam	abubakar imam o.b.e c.o.n l.l.d n.n.m.c.  was a nigerian writer
abubakar_imam	alumni of the institute of education
abubakar_imam	nigerian writers
abubakar_imam	northern people's congress politicians
abubakar_imam	people from zaria
abujafar_shamsuddin	1911 births
abujafar_shamsuddin	1989 deaths
abujafar_shamsuddin	abujafar shamsuddin was a bangladeshi writer
abujafar_shamsuddin	bangladeshi male writers
abujafar_shamsuddin	bengali writers
abujafar_shamsuddin	bengali-language writers
abujafar_shamsuddin	recipients of the ekushey padak
abul_asad	1942 births
abul_asad	abul asad is a writer and journalist in bangladesh. he is the
abul_asad	bangladeshi journalists
abul_asad	bangladeshi male novelists
abul_asad	rajshahi university alumni
abul_bashar	1951 births
abul_bashar	20th-century indian writers
abul_bashar	abul bashar is a popular bengali writer from the state of west
abul_bashar	bengali writers
abul_bashar	bengali-language writers
abul_bashar	people from murshidabad district
abul_bashar	recipients of the ananda purashkar
abul_bashar	university of calcutta alumni
abul_fazal_:writer	1903 births
abul_fazal_:writer	1983 deaths
abul_fazal_:writer	abul fazal was a bangladeshi writer and educationist. abul fazal
abul_fazal_:writer	bangladeshi male writers
abul_fazal_:writer	bengali writers
abul_fazal_:writer	bengali-language writers
abul_fazal_:writer	recipients of bangla academy award
abul_fazal_:writer	vice-chancellors of the university of chittagong
acharya_chatursen_shastri	1891 births
acharya_chatursen_shastri	1960 deaths
acharya_chatursen_shastri	20th-century indian dramatists and playwrights
acharya_chatursen_shastri	20th-century indian essayists
acharya_chatursen_shastri	20th-century indian novelists
acharya_chatursen_shastri	acharya chatursen shastri  was an eminent writer of hindi and
acharya_chatursen_shastri	ayurvedacharyas
acharya_chatursen_shastri	hindi-language writers
acharya_chatursen_shastri	indian male dramatists and playwrights
acharya_chatursen_shastri	indian male essayists
acharya_chatursen_shastri	indian male novelists
acharya_chatursen_shastri	people from bulandshahr district
